id,host_id,host_name,host_response_time,host_is_superhost,neighbourhood,latitude,longitude,room_type,price,security_deposit,cleaning_fee,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
958,1169,Holly,within a few hours,t,Western Addition,37.76931,-122.43386,Entire home/apt,$170.00 ,$100.00 ,$100.00 ,192,97,10,10,10,10,10,9
5858,8904,Philip And Tania,within a day,f,Bernal Heights,37.74511,-122.42102,Entire home/apt,$235.00 ,,$100.00 ,111,98,10,10,10,10,10,9
7918,21994,Aaron,within a few hours,f,Haight Ashbury,37.76669,-122.4525,Private room,$65.00 ,$200.00 ,$50.00 ,17,85,8,8,9,9,9,8
8142,21994,Aaron,within a few hours,f,Haight Ashbury,37.76487,-122.45183,Private room,$65.00 ,$200.00 ,$50.00 ,8,93,9,9,10,10,9,9
8339,24215,Rosy,within an hour,f,Western Addition,37.77525,-122.43637,Entire home/apt,$685.00 ,$0.00 ,$225.00 ,27,97,10,10,10,10,10,9
8567,25601,Sandy,within a day,f,Western Addition,37.78471,-122.44555,Entire home/apt,$255.00 ,$0.00 ,$125.00 ,34,91,10,8,10,10,10,9
8739,7149,Ivan & Wendy,within an hour,t,Mission,37.75919,-122.42237,Private room,$139.00 ,$0.00 ,$50.00 ,672,98,10,10,10,10,10,10
9225,29674,Gae,within an hour,t,Potrero Hill,37.76259,-122.40543,Private room,$135.00 ,,$50.00 ,476,94,10,10,10,10,10,10
10251,35199,Roman & Sarah,within an hour,t,Mission,37.75874,-122.41327,Entire home/apt,$265.00 ,$500.00 ,$100.00 ,335,96,10,10,10,10,10,9
10820,38836,Bernat,within a few hours,f,Haight Ashbury,37.77187,-122.43859,Entire home/apt,$177.00 ,"$2,500.00 ",$208.00 ,37,89,9,9,10,9,9,9
10824,38836,Bernat,within a few hours,f,Western Addition,37.77355,-122.42436,Entire home/apt,$194.00 ,"$3,000.00 ",$208.00 ,14,91,10,10,10,9,10,9
10832,38836,Bernat,within a few hours,f,Downtown/Civic Center,37.78574,-122.40798,Entire home/apt,$139.00 ,"$2,500.00 ",$130.00 ,19,92,10,9,10,10,10,9
